,Name,Age,Country,Role,Matches,Experience ( in Yrs),Runs,Strike_Rate,Wickets,Economy,Average,Team_Preference,Auction_Price_Simulated ( in Cr )
23,Sanju Samson,22,India,Wicketkeeper,53,2,11697,99.5,0,0.0,54.54,RR,11.23
24,Rishabh Pant,35,India,Wicketkeeper,244,9,9043,141.3,0,0.0,26.96,DC,13.8
25,Andre Russell,29,West Indies,Allrounder,68,4,5674,143.9,292,5.02,44.74,KKR,12.02
26,Sunil Narine,20,West Indies,Allrounder,18,1,2752,141.3,361,7.55,22.59,KKR,7.18
27,Rashid Khan,23,Afghanistan,Bowler,98,4,260,102.0,474,5.36,50.21,GT,11.18
28,Kane Williamson,30,New Zealand,Batter,269,10,11669,114.9,8,8.18,22.22,SRH,13.23
29,David Warner,35,Australia,Batter,18,1,14169,114.5,8,7.09,45.54,DC,12.42
30,Ben Stokes,42,England,Allrounder,489,21,2413,148.2,190,7.23,36.53,CSK,13.92
31,Jos Buttler,31,England,Wicketkeeper,74,3,2553,102.2,0,0.0,44.96,RR,9.0
32,Jofra Archer,41,England,Bowler,263,9,3120,128.7,262,6.89,46.98,MI,9.57
33,Faf du Plessis,34,South Africa,Batter,115,4,13244,126.4,9,7.73,34.96,RCB,12.25
34,Quinton de Kock,38,South Africa,Wicketkeeper,356,17,5004,96.5,0,0.0,23.78,LSG,12.01
35,Kagiso Rabada,29,South Africa,Bowler,79,3,3905,133.2,877,4.12,31.0,PBKS,15.02
36,Shane Warne,34,Australia,Bowler,25,1,2001,149.5,99,5.93,28.73,RR,5.33
37,Glenn McGrath,21,Australia,Bowler,58,2,3406,140.3,394,5.56,28.01,DC,6.9
38,Brett Lee,25,Australia,Bowler,22,1,3596,112.4,660,4.29,25.64,PBKS,11.08
39,Adam Gilchrist,20,Australia,Wicketkeeper,30,1,3633,150.8,0,0.0,48.28,DC,8.51
40,Kumar Sangakkara,42,Sri Lanka,Wicketkeeper,334,18,4603,133.0,0,0.0,50.5,RR,13.87
41,Mahela Jayawardene,39,Sri Lanka,Batter,380,16,5705,106.2,8,8.81,51.24,DC,12.94
42,Muttiah Muralitharan,34,Sri Lanka,Bowler,264,14,3804,143.4,632,6.05,51.36,CSK,15.52
43,Wasim Akram,42,Pakistan,Bowler,713,24,823,101.6,810,5.21,27.98,KKR,20.0
44,Waqar Younis,27,Pakistan,Bowler,190,7,2661,144.1,462,5.62,50.13,SRH,10.67
45,Imran Khan,32,Pakistan,Allrounder,250,9,2491,125.6,166,5.02,34.61,GT,10.46
46,Brendon McCullum,25,New Zealand,Wicketkeeper,25,1,2844,108.3,0,0.0,24.2,KKR,4.94
47,Michael Clarke,36,Australia,Batter,387,18,12641,151.6,7,7.18,31.31,PWI,19.56
48,Vikas Patel,18,England,Batter,17,1,11423,137.2,7,7.82,32.73,CSK,11.57
49,Arjun Iyer,26,Sri Lanka,Bowler,151,8,3213,152.7,564,7.69,28.81,PBKS,10.13
50,Rahul Kulkarni,31,England,Batter,87,4,9735,113.1,14,7.74,29.97,RR,10.93
51,Amit Reddy,41,India,Batter,37,2,6139,131.6,6,6.13,37.59,DC,9.17
52,Manoj Iyer,35,Sri Lanka,Bowler,288,15,3581,111.7,157,4.2,51.79,SRH,10.16
53,Amit Kulkarni,32,India,Batter,218,13,6872,103.7,5,6.84,37.13,GT,13.3
54,Vikas Malik,31,India,Wicketkeeper,141,8,8709,154.1,0,0.0,28.47,RR,15.13
55,Sameer Shetty,18,Australia,Allrounder,28,1,7206,140.7,414,7.35,28.32,LSG,11.86
56,Vikas Verma,35,India,Bowler,388,16,3013,117.1,635,6.77,42.13,KKR,16.85
57,Amit Mehta,19,West Indies,Batter,20,1,3931,127.1,2,8.22,23.16,LSG,5.48
58,Pranav Malik,23,South Africa,Batter,18,1,12333,114.2,7,8.92,26.53,KKR,11.13
59,Manoj Kulkarni,36,West Indies,Batter,40,2,7272,130.5,6,6.14,43.71,PBKS,10.67
60,Rohan Reddy,39,Australia,Bowler,282,11,1295,125.7,849,4.06,27.93,RCB,17.69
61,Nikhil Mehta,20,India,Wicketkeeper,21,1,10788,133.7,0,0.0,26.1,MI,11.62
62,Sameer Patel,26,England,Allrounder,63,3,2792,118.2,264,7.42,52.79,KKR,7.99
63,Pranav Malik,35,Australia,Batter,176,10,5200,115.5,8,6.48,23.97,GT,7.6
64,Rohan Verma,21,India,Bowler,25,1,833,147.6,783,7.51,29.03,PBKS,14.69
65,Rohan Khan,38,India,Wicketkeeper,243,9,7033,134.6,0,0.0,48.6,CSK,15.54
66,Harshit Iyer,19,India,Allrounder,29,1,6019,126.8,401,6.94,28.46,SRH,11.4
67,Rahul Patel,31,West Indies,Batter,144,9,9049,148.8,4,6.33,51.51,RCB,15.06
68,Rohan Singh,31,England,Batter,58,3,14174,115.3,7,8.22,32.22,CSK,13.39
69,Harshit Chopra,39,India,Allrounder,119,4,3439,148.8,482,7.54,51.05,RR,12.53
70,Amit Iyer,23,South Africa,Wicketkeeper,55,2,6565,141.8,0,0.0,42.47,DC,10.26
71,Manoj Malik,26,Sri Lanka,Batter,59,3,6269,104.7,14,6.29,51.45,CSK,10.77
72,Vikas Sharma,29,South Africa,Bowler,117,5,1141,95.6,151,6.3,23.55,KKR,6.73
73,Pranav Chopra,42,West Indies,Allrounder,219,9,1726,95.3,99,7.32,25.63,RR,9.85
74,Amit Patel,26,South Africa,Allrounder,67,3,7468,136.5,442,6.92,42.82,PBKS,9.47
75,Manoj Khan,28,India,Batter,137,7,3727,137.7,13,6.78,28.3,PBKS,11.31
76,Manoj Patel,18,England,Allrounder,18,1,7396,139.8,500,6.14,42.74,DC,12.21
77,Pranav Reddy,27,South Africa,Allrounder,210,9,6041,134.5,105,7.97,39.89,DC,11.08
78,Pranav Deshmukh,24,Australia,Wicketkeeper,85,4,11477,100.6,0,0.0,32.87,RCB,11.27
79,Vikas Reddy,18,England,Allrounder,29,1,5119,109.6,266,5.93,54.06,PBKS,7.01
80,Harshit Khan,39,India,Wicketkeeper,141,7,10945,118.6,0,0.0,51.22,RCB,13.99
81,Rahul Malik,39,Australia,Allrounder,430,21,8107,142.7,141,7.21,37.59,KKR,16.26
82,Vikas Naidu,22,India,Batter,29,1,9790,124.6,6,8.02,26.83,PBKS,12.9
83,Manoj Yadav,40,India,Wicketkeeper,387,13,4246,138.3,0,0.0,29.83,RCB,12.88
84,Sandeep Shetty,42,Sri Lanka,Bowler,222,14,2283,133.7,335,4.09,26.2,GT,10.82
85,Harshit Naidu,21,West Indies,Bowler,49,2,1299,152.2,853,7.57,52.02,GT,13.13
86,Irfan Khan,32,Sri Lanka,Wicketkeeper,190,10,10277,117.2,0,0.0,20.54,GT,13.43
87,Irfan Kulkarni,32,West Indies,Bowler,137,5,2567,120.7,324,7.53,53.83,SRH,9.16
88,Aditya Verma,26,Australia,Batter,162,8,8238,146.2,2,9.37,30.31,KKR,11.54
89,Manoj Deshmukh,22,India,Bowler,32,2,1699,146.1,497,5.46,31.09,RCB,12.26
90,Manoj Sharma,28,South Africa,Wicketkeeper,234,9,2820,105.2,0,0.0,39.49,KKR,9.4
91,Karthik Sharma,42,Australia,Wicketkeeper,484,19,9365,151.2,0,0.0,44.36,DC,18.71
92,Vikas Verma,35,Sri Lanka,Wicketkeeper,123,8,8871,129.2,0,0.0,23.4,RR,10.2
93,Irfan Naidu,28,West Indies,Bowler,108,7,3714,154.4,483,6.34,24.9,RCB,11.15
94,Pranav Reddy,36,Sri Lanka,Batter,20,1,3823,147.6,8,7.81,45.93,RCB,7.36
95,Karthik Singh,30,South Africa,Bowler,125,6,3080,137.1,511,6.65,32.58,DC,9.79
96,Amit Deshmukh,26,India,Wicketkeeper,60,2,8233,112.6,0,0.0,48.33,GT,11.92
97,Harshit Kulkarni,25,India,Batter,121,6,6266,147.0,0,8.84,51.96,CSK,13.13
98,Sandeep Naidu,37,India,Bowler,134,5,2865,125.1,342,5.94,47.94,MI,10.86
99,Nikhil Mehta,42,India,Bowler,259,12,442,137.1,672,6.47,47.85,MI,15.91
100,Manoj Deshmukh,18,India,Wicketkeeper,22,1,4169,148.4,0,0.0,31.83,KKR,7.24
101,Harshit Mehta,40,England,Batter,286,10,10018,100.6,11,7.31,40.24,CSK,12.4
102,Irfan Reddy,20,India,Batter,43,2,8934,122.9,14,6.13,38.99,LSG,10.99
103,Sandeep Deshmukh,40,Australia,Wicketkeeper,143,5,10421,112.2,0,0.0,40.68,GT,10.62
104,Ankit Malik,32,India,Allrounder,140,7,8722,97.2,270,5.11,48.79,KKR,13.9
105,Nikhil Mehta,25,England,Wicketkeeper,108,7,10598,116.6,0,0.0,24.45,RR,12.02
106,Vikas Singh,28,England,Wicketkeeper,62,3,7026,126.3,0,0.0,46.95,SRH,12.47
107,Rahul Yadav,35,Sri Lanka,Bowler,22,1,2828,132.4,567,4.82,22.99,RR,11.29
108,Harshit Sharma,38,Australia,Wicketkeeper,296,16,9125,98.1,0,0.0,38.6,MI,13.56
109,Pranav Mehta,40,Sri Lanka,Allrounder,190,8,5849,133.2,216,6.89,45.41,DC,11.55
110,Ankit Deshmukh,31,Australia,Allrounder,258,12,3559,126.0,158,8.42,31.3,LSG,8.74
111,Ankit Patel,21,India,Bowler,57,3,886,111.2,836,7.02,35.36,GT,14.96
112,Rahul Malik,33,Australia,Allrounder,104,5,4456,96.5,131,5.27,53.69,KKR,9.66
113,Rohan Sharma,27,West Indies,Bowler,24,1,2856,136.8,209,7.18,34.31,CSK,9.06
114,Irfan Sharma,38,Australia,Batter,360,16,10843,104.4,14,6.61,28.76,PBKS,14.37
115,Rohan Malik,28,India,Batter,49,3,9565,137.9,15,7.92,43.11,LSG,13.52
116,Sandeep Shetty,20,Australia,Bowler,17,1,1016,152.3,201,5.06,45.83,PBKS,6.55
117,Harshit Chopra,35,Sri Lanka,Bowler,323,14,1217,131.7,682,6.11,34.69,RR,14.93
118,Nikhil Deshmukh,31,India,Batter,102,5,7335,116.4,2,6.87,46.52,MI,13.13
119,Arjun Patel,23,India,Bowler,43,2,1845,102.0,785,4.05,21.61,RCB,16.56
120,Amit Yadav,37,Australia,Allrounder,419,16,8541,146.3,272,5.14,44.63,SRH,18.21
121,Harshit Shetty,20,India,Allrounder,28,1,2440,100.9,318,6.66,37.21,PBKS,8.29
122,Sameer Verma,25,India,Bowler,97,6,679,105.4,891,5.8,35.18,RCB,18.89
123,Rahul Naidu,27,South Africa,Wicketkeeper,109,5,10699,118.9,0,0.0,41.55,SRH,10.65
124,Rahul Mehta,35,South Africa,Wicketkeeper,428,16,7780,133.1,0,0.0,21.59,CSK,15.22
125,Rahul Yadav,37,India,Batter,203,9,12441,132.6,1,7.31,37.61,PBKS,18.76
126,Arjun Kulkarni,42,Australia,Wicketkeeper,113,6,9641,146.4,0,0.0,43.05,LSG,11.01
127,Karthik Singh,38,England,Batter,322,16,13979,99.2,3,6.57,42.48,RR,15.89
128,Aditya Naidu,23,South Africa,Wicketkeeper,80,3,3101,96.6,0,0.0,40.5,SRH,6.73
129,Rohan Singh,32,South Africa,Allrounder,57,2,5715,129.5,462,8.29,33.59,MI,10.33
130,Amit Yadav,18,England,Wicketkeeper,30,1,9742,133.6,0,0.0,36.04,GT,8.43
131,Rohan Chopra,42,Australia,Bowler,44,2,3607,151.5,795,6.07,33.51,RCB,13.46
132,Pranav Mehta,33,India,Batter,39,2,12024,149.3,0,9.36,26.85,KKR,12.39
133,Vikas Malik,35,Sri Lanka,Batter,240,14,13612,101.0,4,6.24,20.64,MI,15.04
134,Arjun Deshmukh,33,South Africa,Allrounder,438,15,5452,136.0,281,5.33,22.49,SRH,14.45
135,Manoj Yadav,25,West Indies,Bowler,107,4,3601,145.7,219,5.21,20.81,PBKS,10.16
136,Ankit Khan,20,Australia,Wicketkeeper,56,2,2542,143.9,0,0.0,29.86,GT,6.05
137,Irfan Iyer,27,West Indies,Wicketkeeper,136,5,8154,102.1,0,0.0,44.39,LSG,10.36
138,Karthik Khan,28,India,Wicketkeeper,196,9,11868,132.7,0,0.0,50.71,DC,17.66
139,Amit Singh,30,South Africa,Wicketkeeper,84,4,4992,139.1,0,0.0,48.12,LSG,8.37
140,Arjun Mehta,33,India,Bowler,29,1,408,105.6,618,5.07,46.27,DC,13.23
141,Manoj Malik,32,India,Bowler,30,1,3201,154.4,351,7.07,34.44,RCB,10.85
142,Pranav Patel,28,West Indies,Wicketkeeper,247,10,7688,117.3,0,0.0,47.17,DC,11.01
143,Nikhil Patel,38,Australia,Batter,298,16,4480,150.8,13,7.19,50.04,KKR,13.27
144,Karthik Iyer,21,India,Batter,47,3,8314,140.1,1,7.5,46.41,SRH,12.54
145,Manoj Iyer,27,West Indies,Allrounder,142,6,6136,149.2,389,5.36,37.68,KKR,14.48
146,Rahul Mehta,23,India,Bowler,45,2,3738,114.2,677,7.14,51.34,RR,11.82
147,Pranav Verma,22,Australia,Wicketkeeper,51,2,2653,118.4,0,0.0,20.38,LSG,4.19
148,Rahul Naidu,32,Australia,Bowler,129,5,2827,100.5,336,7.44,31.18,DC,9.23
149,Vikas Reddy,32,India,Allrounder,270,14,4624,152.0,332,8.33,40.07,LSG,15.65
150,Aditya Verma,29,South Africa,Allrounder,220,10,1566,121.9,329,7.21,30.26,CSK,11.59
151,Irfan Khan,39,India,Wicketkeeper,49,2,8272,114.7,0,0.0,43.54,SRH,11.22
152,Nikhil Verma,25,India,Bowler,170,6,2647,142.5,120,6.86,47.64,RCB,7.83
153,Nikhil Singh,27,India,Batter,236,8,7835,124.7,10,6.32,22.01,RCB,13.3
154,Vikas Iyer,41,England,Bowler,345,14,2055,121.5,359,6.09,51.07,GT,12.81
155,Harshit Verma,23,India,Wicketkeeper,74,3,3733,116.1,0,0.0,24.1,DC,7.4
156,Irfan Shetty,22,England,Wicketkeeper,32,2,8964,103.6,0,0.0,46.65,GT,11.88
157,Karthik Singh,18,South Africa,Batter,26,1,4775,101.1,7,8.16,22.94,SRH,5.88
158,Sameer Mehta,33,India,Allrounder,29,1,8949,99.4,398,7.45,48.77,KKR,11.13
159,Sandeep Sharma,27,Australia,Batter,168,7,4902,99.9,3,8.47,22.97,CSK,8.79
160,Manoj Naidu,25,West Indies,Bowler,128,5,2405,117.5,840,7.75,32.97,DC,13.45
161,Pranav Patel,41,South Africa,Wicketkeeper,110,5,3036,143.8,0,0.0,53.15,LSG,9.85
162,Karthik Naidu,40,England,Bowler,205,12,2808,140.2,456,7.75,33.17,KKR,12.65
163,Manoj Verma,35,India,Batter,296,12,4501,141.6,6,6.29,39.54,KKR,12.3
164,Amit Shetty,38,India,Batter,364,20,12250,149.4,6,7.48,23.89,DC,20.0
165,Irfan Malik,20,England,Bowler,19,1,3230,95.7,690,5.87,36.4,KKR,12.36
166,Sandeep Chopra,18,India,Bowler,18,1,2707,102.1,106,4.21,24.11,SRH,7.84
167,Harshit Shetty,22,England,Allrounder,15,1,2927,139.8,175,7.27,40.42,KKR,10.24
168,Arjun Patel,19,Sri Lanka,Wicketkeeper,29,1,8431,152.7,0,0.0,33.12,MI,9.89
169,Arjun Yadav,34,India,Wicketkeeper,106,4,11043,112.1,0,0.0,50.4,PBKS,12.72
170,Amit Naidu,27,South Africa,Batter,207,8,4768,152.8,15,6.78,20.43,RR,9.45
171,Sameer Patel,40,India,Batter,241,15,5067,97.6,8,9.39,51.19,DC,10.83
172,Manoj Mehta,37,Australia,Allrounder,517,19,5641,154.6,349,6.85,22.58,GT,17.04
173,Irfan Kulkarni,31,India,Batter,43,2,10398,153.2,7,7.94,38.31,GT,14.07
174,Manoj Reddy,31,England,Wicketkeeper,144,6,7620,132.8,0,0.0,44.35,MI,11.98
175,Sandeep Kulkarni,39,India,Allrounder,158,9,8313,132.7,83,6.59,40.45,LSG,13.75
176,Aditya Deshmukh,20,India,Batter,47,2,3982,97.7,10,9.15,29.83,DC,6.86
177,Ankit Malik,39,India,Wicketkeeper,78,4,7619,152.0,0,0.0,51.16,RR,14.41
178,Sandeep Kulkarni,29,India,Bowler,57,2,443,132.2,438,5.73,29.71,LSG,10.83
179,Harshit Verma,35,India,Batter,289,12,12190,122.8,0,6.66,32.37,PBKS,19.96
180,Sandeep Verma,37,England,Batter,224,9,3100,99.7,5,8.04,54.1,SRH,9.56
181,Sandeep Deshmukh,22,India,Batter,107,4,11691,136.9,6,9.45,38.76,CSK,13.4
182,Ankit Iyer,30,Australia,Wicketkeeper,197,7,7814,113.6,0,0.0,48.48,DC,10.67
183,Sameer Sharma,42,India,Batter,310,19,14042,104.8,2,8.4,51.88,RCB,19.19
184,Karthik Mehta,26,South Africa,Wicketkeeper,154,8,6031,144.4,0,0.0,53.24,LSG,11.74
185,Ankit Reddy,42,Australia,Batter,504,17,11633,131.8,9,8.54,34.64,MI,18.54
186,Nikhil Sharma,19,India,Wicketkeeper,24,1,5960,151.0,0,0.0,50.31,CSK,11.48
187,Rohan Singh,42,India,Allrounder,138,5,7619,96.6,260,5.16,33.18,MI,12.18
188,Arjun Deshmukh,23,West Indies,Wicketkeeper,47,2,8302,143.6,0,0.0,54.55,KKR,10.28
189,Manoj Sharma,20,India,Batter,57,2,8129,130.6,13,6.53,33.33,LSG,9.24
190,Rohan Patel,36,India,Wicketkeeper,278,13,5315,153.2,0,0.0,49.47,RR,14.11
191,Rahul Reddy,37,India,Allrounder,336,15,6324,123.1,245,7.93,34.52,MI,16.05
192,Irfan Verma,34,India,Wicketkeeper,66,3,5254,111.4,0,0.0,21.97,DC,8.93
193,Sameer Shetty,20,England,Bowler,19,1,967,143.8,185,7.29,54.99,DC,3.82
194,Sandeep Mehta,22,India,Bowler,56,3,3896,128.3,871,7.79,46.91,RCB,15.75
195,Harshit Mehta,38,Sri Lanka,Wicketkeeper,414,16,11748,151.7,0,0.0,49.74,PBKS,18.74
196,Irfan Kulkarni,38,India,Allrounder,525,20,2059,122.0,280,5.87,24.52,DC,15.4
197,Harshit Verma,32,India,Allrounder,255,11,5656,131.4,77,8.34,28.0,PBKS,12.65
198,Amit Sharma,27,Australia,Wicketkeeper,129,8,3979,135.3,0,0.0,41.63,DC,9.93
199,Karthik Mehta,37,India,Wicketkeeper,485,17,11866,116.5,0,0.0,23.97,GT,16.83
200,Nikhil Naidu,38,India,Allrounder,112,7,5190,126.2,92,7.35,47.03,GT,11.3
201,Amit Yadav,28,Sri Lanka,Bowler,46,2,2141,146.1,704,5.98,39.32,LSG,13.75
202,Sameer Verma,23,South Africa,Allrounder,66,3,7061,147.6,346,6.96,34.12,RR,12.88
203,Ankit Patel,19,South Africa,Batter,24,1,7128,96.7,4,6.47,46.43,GT,9.11
204,Sameer Singh,28,South Africa,Bowler,34,2,2437,137.2,805,6.36,27.45,SRH,12.21
205,Pranav Shetty,20,India,Wicketkeeper,51,2,11124,103.2,0,0.0,20.51,DC,9.96
206,Amit Singh,20,India,Allrounder,60,2,3254,130.4,214,6.23,33.73,SRH,10.71
207,Vikas Iyer,42,India,Bowler,315,16,3458,149.2,887,5.66,32.19,RCB,20.0
208,Pranav Singh,21,India,Batter,83,3,9172,142.0,4,7.8,33.88,PBKS,13.16
209,Aditya Naidu,23,South Africa,Bowler,41,2,2770,146.7,816,6.36,53.23,CSK,18.66
210,Harshit Deshmukh,25,India,Allrounder,94,4,3459,150.6,198,5.51,37.22,LSG,12.42
211,Ankit Kulkarni,33,Sri Lanka,Bowler,343,15,3151,122.5,368,4.98,54.3,PBKS,15.19
212,Sandeep Malik,42,India,Wicketkeeper,259,13,3354,124.6,0,0.0,31.51,KKR,12.34
213,Arjun Khan,38,West Indies,Allrounder,457,16,2521,109.4,185,7.22,22.66,MI,13.4
214,Karthik Khan,20,India,Allrounder,28,1,2251,102.7,153,5.45,25.32,GT,7.79
215,Manoj Sharma,32,West Indies,Batter,137,6,6862,133.5,12,6.49,26.37,RR,11.1
216,Amit Singh,20,England,Bowler,55,2,598,148.8,220,5.31,36.59,MI,6.14
217,Aditya Malik,19,Sri Lanka,Wicketkeeper,29,1,2586,135.1,0,0.0,26.03,RCB,5.79
218,Vikas Malik,20,West Indies,Allrounder,28,1,2410,97.5,437,5.67,25.91,RCB,8.12
219,Rahul Sharma,27,South Africa,Allrounder,100,4,8003,105.6,358,5.98,23.1,KKR,11.76
220,Irfan Khan,32,West Indies,Batter,30,2,13353,122.6,7,6.42,27.22,LSG,14.92
221,Manoj Sharma,40,England,Allrounder,105,5,6174,125.2,253,6.27,44.16,PBKS,8.53
222,Rahul Chopra,23,West Indies,Allrounder,15,1,4698,143.0,487,5.14,41.98,GT,12.49
223,Ankit Verma,33,England,Wicketkeeper,17,1,8149,99.9,0,0.0,50.58,CSK,7.1
224,Harshit Mehta,25,India,Batter,95,6,8772,98.7,10,9.22,29.69,DC,10.45
225,Aditya Naidu,38,India,Wicketkeeper,98,6,9998,143.4,0,0.0,46.19,RCB,15.22
226,Amit Shetty,19,India,Bowler,25,1,3823,107.6,397,4.7,32.97,KKR,10.51
227,Rohan Sharma,34,Australia,Wicketkeeper,286,13,3283,124.1,0,0.0,41.64,KKR,9.66
228,Rahul Shetty,38,South Africa,Allrounder,267,11,7589,122.8,265,6.29,46.16,DC,12.97
229,Karthik Deshmukh,30,England,Bowler,156,6,1092,110.1,900,4.14,44.97,LSG,18.35
230,Manoj Mehta,20,West Indies,Batter,39,2,8262,125.7,3,9.13,38.62,RCB,8.61
231,Rohan Naidu,20,South Africa,Allrounder,35,2,7150,121.8,267,5.38,38.64,PBKS,10.68
232,Aditya Malik,29,South Africa,Batter,155,8,13477,111.2,1,6.85,33.2,DC,14.23
233,Arjun Shetty,20,India,Allrounder,34,2,8452,114.3,351,5.07,27.4,RCB,11.68
234,Sandeep Patel,39,England,Batter,317,15,9272,102.2,1,7.15,51.17,KKR,16.61
235,Ankit Singh,37,India,Wicketkeeper,148,5,4755,130.6,0,0.0,43.77,LSG,11.71
236,Ankit Kulkarni,34,India,Wicketkeeper,209,12,2924,142.4,0,0.0,37.45,SRH,9.31
237,Arjun Reddy,41,India,Wicketkeeper,123,6,6764,100.2,0,0.0,38.8,GT,10.57
238,Nikhil Verma,40,India,Bowler,256,15,555,139.7,155,6.23,35.11,LSG,9.69
239,Rahul Shetty,32,England,Wicketkeeper,90,3,3563,102.7,0,0.0,29.93,DC,7.79
240,Irfan Iyer,35,England,Allrounder,280,10,3336,133.8,102,6.27,39.98,RCB,10.44
241,Harshit Naidu,24,England,Bowler,47,2,2344,154.2,457,5.35,41.2,CSK,10.14
242,Nikhil Khan,32,India,Bowler,274,13,1630,101.1,814,4.9,25.35,MI,19.88
243,Harshit Reddy,41,India,Wicketkeeper,272,16,7694,109.8,0,0.0,25.62,PBKS,14.33
244,Karthik Kulkarni,38,England,Wicketkeeper,53,3,11532,106.2,0,0.0,29.98,GT,9.02
245,Harshit Iyer,38,West Indies,Bowler,313,19,3405,148.8,207,4.66,22.81,RR,11.48
246,Sandeep Iyer,34,India,Allrounder,119,5,5750,119.6,498,6.84,54.38,DC,13.72
247,Vikas Kulkarni,27,Australia,Allrounder,34,2,6620,118.9,195,5.39,53.93,GT,9.73
248,Arjun Kulkarni,37,India,Batter,357,18,13792,144.0,10,9.03,29.03,RCB,20.0
249,Rahul Sharma,36,Australia,Batter,50,2,6453,135.1,13,6.6,52.53,PBKS,10.21
250,Sameer Kulkarni,37,Australia,Wicketkeeper,24,1,10412,128.4,0,0.0,40.01,GT,9.13
251,Rohan Naidu,25,India,Wicketkeeper,125,7,9702,111.8,0,0.0,46.93,MI,14.56
252,Vikas Singh,31,India,Wicketkeeper,160,8,7731,106.2,0,0.0,31.33,PBKS,14.51
253,Sandeep Shetty,41,West Indies,Wicketkeeper,323,12,4239,120.5,0,0.0,37.77,DC,12.23
254,Rahul Verma,28,India,Wicketkeeper,69,4,4086,109.5,0,0.0,24.02,LSG,6.75
255,Irfan Mehta,19,India,Wicketkeeper,20,1,7864,131.6,0,0.0,30.1,RR,9.71
256,Harshit Iyer,36,West Indies,Bowler,284,11,2042,104.3,395,6.21,36.84,LSG,13.47
257,Manoj Chopra,33,India,Batter,21,1,12557,98.1,11,7.86,31.78,LSG,11.12
258,Karthik Mehta,19,Australia,Allrounder,15,1,8440,98.8,95,5.47,54.65,LSG,9.7
259,Aditya Singh,31,England,Allrounder,47,3,4781,143.6,66,6.13,28.91,RR,9.6
260,Ankit Chopra,36,India,Bowler,467,18,2065,140.6,541,6.59,40.85,SRH,16.72
261,Irfan Mehta,42,India,Allrounder,335,18,2292,119.7,241,6.65,32.21,PBKS,13.75
262,Harshit Iyer,29,West Indies,Allrounder,141,6,5596,144.8,60,8.25,53.78,KKR,6.59
263,Aditya Singh,19,West Indies,Bowler,29,1,610,138.9,700,4.47,52.84,LSG,11.64
264,Sameer Mehta,34,India,Allrounder,125,5,6550,99.0,418,5.63,45.94,DC,13.37
265,Aditya Mehta,27,Sri Lanka,Wicketkeeper,92,6,8535,129.5,0,0.0,49.46,SRH,10.35
266,Nikhil Verma,28,Sri Lanka,Wicketkeeper,38,2,11977,103.4,0,0.0,47.83,CSK,13.7
267,Nikhil Naidu,36,West Indies,Batter,200,8,14815,104.8,12,6.71,25.75,RCB,12.69
268,Nikhil Deshmukh,22,India,Batter,30,2,10225,134.9,10,8.85,38.31,MI,11.94
269,Aditya Yadav,31,West Indies,Wicketkeeper,84,3,10226,116.5,0,0.0,50.7,RR,11.95
